01-central Central handler retains generic message mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
02-team-values Exclude honored team names from unsupported entries mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
03-vocabulary Publish authoritative canonical vocabulary mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
04-aliases Publish accepted legacy aliases mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
05-opponent Typed opponent rejection identifies submitted value mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
06-all-ranks Report all unusable ranks mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
07-alignment Alignment refusal carries submitted ranks mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
08-reversed-minutes Reversed minutes refusal carries submitted pair mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
09-playstyle-min Low rating parse refusal names HTTP minimum mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
10-playstyle-max High rating nonfinite refusal names HTTP maximum mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
11-date Native date parse failure retains identifying facts mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
12-location Native location parse failure retains identifying facts mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
13-mixed-native One native failure must not blank typed team facts mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
14-mixed-unknown Unknown failure must not blank known facts mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
15-season Season parse failure names submitted value mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
16-minutes-part Minutes failure excludes valid bound mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
17-self-stat Unsupported self stat remains actionable mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
18-game-filter Native game count failure retains identifying facts mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
19-redaction Credential values must not echo mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
20-identifiable Ordinary rejected values must remain identifiable mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
21-context Never expose Pydantic diagnostics mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
22-unknown Unknown internal failures have no details mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
23-grammar-whole Preserve whole-number string grammar mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
24-grammar-fraction Reject fractional inputs instead of truncating mutant 1 restored 0 [('passed', 0), ('failed', 1), ('error', 0)]
25-malformed-cases Every changed malformed-filter case catches absent actionable details mutant 1 restored 0 [('passed', 0), ('failed', 7), ('error', 0)]
26-season-rating-cases Every changed season/rating case catches absent actionable details mutant 1 restored 0 [('passed', 0), ('failed', 6), ('error', 0)]
27-length-bound Coverage probe: removing published-value bound mutant 0 restored 0 [('passed', 125), ('failed', 0), ('error', 0)]
28-self-numeric Coverage probe: reverting self numeric typed failures mutant 0 restored 0 [('passed', 125), ('failed', 0), ('error', 0)]
29-lost-code-assertion Coverage probe: malformed and season/rating groups still require invalid_input code mutant 0 restored 0 [('passed', 13), ('failed', 0), ('error', 0)]
Candidate diff restored byte-for-byte SHA256 39b0f28f726d01a66d9e24fda53d93cc0cd555cd3d9aa0cdedad1b84ca764391
